谜面,谜底
谜面：一群天文爱好者 （打三字娱乐界称谓）,谜底：追星族
谜面：看似反复无常 （打一电影名）,谜底：见鬼2
谜面：人中豪杰赵匡胤 （打一歌手名）,谜底：宋祖英
谜面：围墙拆去售东西 （打二字歌手名）,谜底：韦唯
谜面：附耳过来 （打六字歌曲名）,谜底：轻轻地告诉你
谜面：此女真俗 （打二字小说家）,谜底：金庸
谜面：何谓酒鬼 （打三字俗语）,谜底：拼命干
谜面：双打记录 （打四字古代著作）,谜底：二十四史
谜面：入夜问卜喜弄璋 （打二字称谓）,谜底：外甥
谜面：从前有过远大的抱负 （打三字香港艺人）,谜底：曾志伟
谜面：春分三日草木多 （打二字饮食名词）,谜底：早茶
谜面：门外汉猜谜 （打三字通讯用语）,谜底：打不通
谜面：股价下跌，缘何不乐。 （打二字床上用品）,谜底：被套
谜面：甜和尚（打一《西游记》人物）,谜底：唐僧
谜面：瞎凑合 （打四字电影名）,谜底：不见不散
谜面：他人不在，去了闹市。 （打二字国家名）,谜底：也门
谜面：宋清龚旺排前后 （打一成语）,谜底：乐在其中
谜面：昨卖一毛八，现在一毛五。 （打《前出师表》一句）,谜底：今天下三分
谜面：反手上篮逼声近 （打一字）,谜底：笔
谜面：百分之二十靠前 （打一常用称谓）,谜底：80后
谜面：身教 （打一学科名）,谜底：体育
谜面：残局拼杀失先机 （打二字家具）,谜底：屏风
谜面：鼓上蚤悄悄行事，入云龙念念装神。 （打七言唐诗句）,谜底：此时无声胜有声
谜面：院中只剩一旗杆 （打四字电影）,谜底：没完没了
谜面：山西凉拌 （打二字外国领导人）,谜底：普京
谜面：来个黑的正是李逵 （打二字气象名词）,谜底：旋风
谜面：展示良好关系 （打三字《水浒传》人名）,谜底：孙二娘
谜面：手可摘星辰 （打一梁山好汉绰号）,谜底：摸着天
谜面：看起来不偏不倚 （打二字古代科学家名）,谜底：张衡
谜面：何人手诛陆虞候 （打五字歌曲名）,谜底：冲动的惩罚
谜面：麻将赢在不做假 （打三字饮料名）,谜底：和其正
谜面：拆去图框 （打一节气）,谜底：冬至
谜面：公厕实行有偿服务 （打一成语）,谜底：令人费解
谜面：鬓发各已苍 （打六字电影名）,谜底：一个都不能少
谜面：自揭其短 （打《桃花源记》一句）,谜底：不足为外人道也
谜面：首次合作获银牌 （打二字旅游城市名）,谜底：三亚
谜面：都在望明月 （打四字礼貌用语）,谜底：大家赏光
谜面：爆竹声中辞旧岁 （打一《红楼梦》人名）,谜底：迎春
谜面：人人同心又争先 （打二字花名）,谜底：合欢
谜面：昔日的重庆 （打二字国家名）,谜底：古巴
谜面：让火给烧个半死 （打二字《红楼梦》人物）,谜底：焦大
谜面：案中有头没有尾 （打二字称谓）,谜底：女友
谜面：在纤绳上荡悠悠 （打一三国人名）,谜底：徐晃
谜面：举袋扑萤 （打二字称谓）,谜底：网虫
谜面：青梅竹马两无猜 （打五字口语）,谜底：不大好相处
谜面：鬼子急得团团转 （打一离合字）,谜底：日军晕
谜面：罗盘 （打一朝代名）,谜底：南北朝
谜面：牙牙学语 （打一文学体裁）,谜底：童话
谜面：提前一日再相逢 （打一食品）,谜底：担担面
谜面：给螃蟹做衣服 （打一《水浒传》人物）,谜底：石秀
谜面：亲小人，远贤臣。 （打四字电工用语）,谜底：接触不良
谜面：南北一逢两倾心 （打二字商朝人名）,谜底：比干
谜面：感情深一口闷 （打一词牌名）,谜底：春光好
谜面：情舍梅竹和黄花 （打一国家名）,谜底：爱尔兰
谜面：接待客人，无微不至。 （打一朝代名）,谜底：东周
谜面： 话说三棵树 （打二字首都名）,谜底：柏林
谜面：试猜灯谜 （打二字股票术语）,谜底：探底
谜面：宋公明束手无策 （打一成语）,谜底：江郎才尽
谜面：频道 （打二字天气用语）,谜底：多云
谜面：只盼三九到 （打一欧洲国家名）,谜底：希腊
谜面：有为等着瞧消息 （打四字《西游记》人名）,谜底：南海观音
谜面：包二奶事发，只好去自首。 （打一成语）,谜底：负荆请罪
谜面：口条 （打三字计算机用语）,谜底：格式化
谜面：陆逊大怒 （打五字成语）,谜底：书生气十足
谜面：两个连顶上一个师 （打一字）,谜底：筛
谜面：源头枯竭河见底，此谜无格。 （打二字东汉人名),谜底：丁原
谜面：乌云散去 （打三字礼貌用语）,谜底：明天见
谜面：玉容敷粉 （打二字运动项目）,谜底：相扑
谜面：陈桥兵变令人疑 （打三字《西游记》妖怪名）,谜底：黄袍怪
谜面：老丈人搭飞机 （打二字宋朝人名）,谜底：岳飞
谜面：东邻西舍都致富 （打一成语）,谜底：隔墙有耳
谜面：三代通晓天文学 （打三字《西游记》人名）,谜底：孙悟空
谜面：洛阳名花付水流 （打一黑龙江地名）,谜底：牡丹江
谜面：孩童打官司没用 （打一《三国演义》人名）,谜底：孙皓
谜面：正确对待错误 （打一字）,谜底：艾
谜面：大夫制谜 （打一成语）,谜底：三人成虎
谜面：基本一样 （打一山西地名）,谜底：大同
谜面：辞别姑母武则天 （打一成语）,谜底：三思而行
谜面：末了移一笔 （打一明末人名）,谜底：李自成
谜面：意中真心想得子 （打二字节日名）,谜底：元旦
谜面：个个都到贵阳来 （打一字）,谜底：巩
谜面：桂英想见老母亲 （打一《射雕英雄传》人物）,谜底：穆念慈
谜面：出版之后 （打一成语）,谜底：打成一片
谜面：山东安静 （打一《三国演义》人名）,谜底：鲁肃
谜面：城门失火 （打一成语）,谜底：河鱼之患
谜面：七六 （打一国家名）,谜底：希腊
谜面：别悲伤 （打二字古著作）,谜底：楚辞
谜面：只见枝繁叶茂 （打一植物）,谜底：无花果
谜面：叶公的心病 （打二字动物）,谜底：恐龙
谜面：当代楷模与日多 （打二字秦代人名）,谜底：范增
谜面：尺寸分明 （打三字天气用语）,谜底：能见度
谜面：空心菜 （打一成语）,谜底：一草一木
谜面：不深刻 （打二字美术用语）,谜底：浮雕
谜面：明星取胜靠什么 （打三字节日名）,谜底：重阳节
谜面：爱须相许伴如初 （打二字电信用语）,谜底：彩信
谜面：藏于地下 （打一离合字）,谜底：土里埋
谜面：众里寻他千百度 （打三字礼物用语）,谜底：回头见
谜面：发廊停业起骚乱 （打一成语）,谜底：无理取闹
谜面：转嗔为喜 （打一春秋人名）,谜底：颜回
谜面：北西东方皆衰败 （打二字城市名）,谜底：南昌
谜面：清明协商去开罗 （打一成语）,谜底：朝三暮四
谜面：妻子隐瞒过去事 （打一省区名）,谜底：内蒙古
谜面：配音演员 （打四字学校用语）,谜底：专业对口
谜面：子牙火烧琵琶精 （打一成语）,谜底：玉石俱焚
谜面：女皇 （打四字天气用语）,谜底：以阴为主
谜面：尖在上，不在下。 （打一字）,谜底：小
谜面：葭萌关张飞讨战 （打一《水浒传》人名）,谜底：索超
谜面：全天搞改革 （打一《红楼梦》人名）,谜底：王夫人
谜面：发 （打三字节日）,谜底：泼水节
谜面：孔门贤人 （打一成语）,谜底：七十二行
谜面：几时白发变童颜 （打三字中药）,谜底：何首乌
谜面：日月共存 （打二字节日）,谜底：腊八
谜面：少数人减肥 （打三字礼貌用语）,谜底：多保重
谜面：调查组 （打二字国家名）,谜底：日本
谜面：刘彻何许人也 （打一城市名，秋千格）,谜底：武汉
谜面：节育措施拖不得 （打一《水浒传》人名）,谜底：方腊
谜面：话说光武帝 （打一字）,谜底：诱
谜面：两角零头 （打三字天气用语）,谜底：毛毛雨
谜面：鲸鱼西游 （打一首都名）,谜底：东京
谜面：结绳记事 （打一学科名）,谜底：代数
谜面：残月重山傍水源 （打一战国人名）,谜底：屈原
谜面：敬人者，人恒敬之。 （打一成语）,谜底：礼尚往来
谜面：丫丫倒立 （打一成语）,谜底：判若两人
谜面：真心归隐 （打二字《西游记》人名）,谜底：三藏
谜面：霆锋口头猜谜 （打一离合字）,谜底：谢言射
谜面：严禁浪费 （打三字节日）,谜底：父亲节
谜面：解除婚约 （打二字物理用语）,谜底：绝缘
谜面：允许调查 （打三字教育用语）,谜底：准考证
谜面：借钱得把东西送 （打一字）,谜底：错
谜面：名门闺秀 （打三字礼貌用语）,谜底：大家好
谜面：但见来人似扁鹊 （打一成语）,谜底：视同秦越
谜面：真到长大才变美 （打一字）,谜底：兰
谜面：白头外婆您别走 （打一《红楼梦》人名）,谜底：刘佬佬
谜面：小心一点走上来 （打一字）,谜底：寺
谜面：马奔马路请闪开 （打二字演员名）,谜底：许晴
谜面：乱秦可灭 （打一《天龙八部》人名）,谜底：丁春秋
谜面：十载云游走四方 （打一《三国演义》人名）,谜底：王允
谜面：如今少女有派头 （打一字）,谜底：
谜面：不许众说纷纭 （打一成语）,谜底：一人得道
谜面：客心点点寒意起 （打一字）,谜底：冬
谜面：猜谜忌直 （打一成语）,谜底：歪打正着
谜面：休要议论姑娘 （打一成语）,谜底：妙不可言
谜面：伯乐的心愿 （打一成语）,谜底：志在千里
谜面：百姓都在讲节育 （打一成语）,谜底：民不聊生
谜面：策反信 （打一成语）,谜底：字里行间
谜面：邻居来帮腔 （打一成语）,谜底：旁门左道
谜面：山西省阴 （打一字）,谜底：亚
谜面：其实是和尚 （打三字药食材料）,谜底：罗汉果
谜面：怀古西江月，献之前来矣。 （打一省区名）,谜底：湖南
谜面：放翁自传 （打二字语文用语）,谜底：游记
谜面：某人一直都不在 （打一字）,谜底：甘
谜面：小两口睡懒觉 （打三字礼貌用语）,谜底：对不起
谜面：清兵入关 （打一离合字）,谜底：言吴误
谜面：纯阳真人不露相 （打一《三国演义》人名）,谜底：吕蒙
谜面：用汇仁肾宝，他好我也好。 （打一成语）,谜底：一举两得
谜面：古月临池，残花弄影。 （打一省区名）,谜底：湖北
谜面：一马当先反浪费 （打一节日）,谜底：端午节
谜面：三番五次与人较量 （打二字中药名）,谜底：八角
谜面：一统江东吴始立 （打一字）,谜底：呈
谜面：临水而渔，明心见性。 （打二字西晋人名）,谜底：鲁胜
谜面：好好猜谜 （打四字体育用语）,谜底：女子双打
谜面：图画之中云欲动 （打一节气）,谜底：冬至
谜面：两只蜻蜓逐太阳 （打二字气象用语）,谜底：干旱
谜面：与富贵人家为邻 （打一成语）,谜底：隔墙有耳
谜面：淅沥声惊晓梦残 （打四字央视栏目）,谜底：朝闻天下
谜面：张僧繇壁上画龙 （打四字民航用语）,谜底：一点起飞
谜面：又托一叶寄知音 （打一字）,谜底：吱
谜面：此言如何能信 （打二字中药名）,谜底：人参
谜面：《太真外传》 （打一《水浒传》人名）,谜底：杨志
谜面：走好，老头。 （打二字称谓）,谜底：嫂子
谜面：谁知有口不能言 （打二字汉代人名）,谜底：吕雉
谜面：当天重点要复习 （打三国人名一）,谜底：关羽
谜面：孪生姐妹皆不错 （打二字古称谓）,谜底：娘娘
谜面：胜利前进开好头 （打二字花名）,谜底：月季
谜面：红极一时能震主 （打四字电影名）,谜底：赤子威龙
谜面：负负得正 （打一字）,谜底：止
谜面：毛遂自荐 （打三字《笑傲江湖》人名）,谜底：任我行
谜面：研碎香附子 （打二字唐朝人名）,谜底：李白
谜面：龙子与太后 （打一成语）,谜底：孤儿寡母
谜面：中间一直有变化 （打二字电影名）,谜底：叶问
谜面：差一点变成兔子 （打二字礼貌用语）,谜底：免了
谜面：残月残花如画中 （打二字称谓）,谜底：尼姑
谜面：父兄高兴 （打一战国人名）,谜底：伯乐
谜面：天下寒士俱欢颜 （打三字歌曲名）,谜底：穷开心
谜面：下笔无力，提笔忘字。 （打一成语）,谜底：文弱书生
谜面：话说湖南千古事 （打一《红楼梦》人名）,谜底：史湘云
谜面：徒弟难遇鼓上蚤 （打一成语）,谜底：生不逢时
谜面：一把吉他不留弦 （打一成语）,谜底：六根清净
谜面：内乱到后来变心 （打一字）,谜底：恻
谜面：有点自大 （打一节气）,谜底：小满
谜面：北至巴黎 （打三字电脑用语）,谜底：输入法
谜面：先锋失误便失误 （打一成语）,谜底：将错就错
谜面：满族公主拒进门 （打一成语）,谜底：格格不入
谜面：真心出力搞改革 （打一节日）,谜底：五一
谜面：女儿国 （打二字体育项目）,谜底：男排
谜面：古稀之年又重逢 （打一字）,谜底：轰
谜面：分手照张离婚照 （打一成语）,谜底：一拍两散
谜面：高山流水谁知音 （打一《三国演义》人名）,谜底：钟会
谜面：家徒四壁口懒开 （打一成语）,谜底：穷极无聊
谜面：村边桥头早有变化 （打一省区名）,谜底：吉林
谜面：鹊桥架不成 （打四字历史事件）,谜底：七七事变
谜面：女士优先 （打一朝代别称）,谜底：后汉
谜面：中学人生起变化 （打一字）,谜底：牵
谜面：一枕黄粱再现 （打一成语）,谜底：重温旧梦
谜面：关云长左右随从 （打二字股市用语）,谜底：平仓
谜面：菜园子要浇水 （打一《水浒传》人名）,谜底：张清
谜面：此女一生始终忠贞 （打二字礼貌用语）,谜底：贵姓
谜面：智能心中无他爱 （打一成语）,谜底：情有独钟
谜面：孙中山自传 （打三字语文用语）,谜底：文言文
谜面：女生一白遮百丑 （打一字）,谜底：妞
谜面：身上的诺基亚该换了 （打一成语）,谜底：随机应变
谜面：古都邯郸在腾飞 （打一秦朝人名）,谜底：赵高
谜面：草的变化 （打二字中草药）,谜底：白芍
谜面：举座皆宾 （打三字旧称谓）,谜底：少东家
谜面：光棍一条 （打二字体育项目）,谜底：单杠
谜面：欲擒故纵 （打二字学校用语）,谜底：放假
谜面：九十八张纸 （打一成语）,谜底：一刀两断
谜面：看看选哪头 （打一北宋人名）,谜底：张择端
谜面：大车上坐武二郎 （打三字体育项目）,谜底：马拉松
谜面：愿教青帝常为主 （打三字礼貌用语）,谜底：不用谢
谜面：文君真乃奇女子 （打一成语）,谜底：卓尔不群
谜面：拒给他算命 （打一成语）,谜底：不计其数
谜面：财色当头总失败 （打一字）,谜底：负
谜面：轻声细语 （打一体育项目）,谜底：柔道
谜面：天各一方月影重 （打一《水浒传》人名）,谜底：吴用
谜面：公孙胜再次表明 （打一成语）,谜底：一清二白
谜面：十二个姑娘 （打四字体育用语）,谜底：女子单打
谜面：帆船何以快如飞 （打一《西游记》人名）,谜底：顺风耳
谜面：皇叔如在便安然 （打一成语）,谜底：有备无患
谜面：吕雉半作无知状 （打一字）,谜底：唯
谜面：万条垂下绿丝绦 （打一明末人名）,谜底：柳如是
谜面：尘土不染断桥头 （打一《三国演义》人名）,谜底：小乔
谜面：春夜来雨报平安 （打一字）,谜底：泰
谜面：游子身上衣 （打二字服饰名词）,谜底：泳装
谜面：今日一行重会君 （打二字乐器）,谜底：口琴
谜面：美中不足，月影残缺。 （打一《三国演义》人名）,谜底：关羽
谜面：总是放弃 （打一作家）,谜底：老舍
谜面：只看春秋前半部 （打一宋词人）,谜底：秦观
谜面：假离婚 （打一离合字）,谜底：扮分手
谜面：前辈理解后生 （打三字旧称谓）,谜底：老知青
谜面：庭前垂柳绽新芽 （打一广东地名）,谜底：广州
谜面：拿下几多无头案 （打一生活物）,谜底：手机
谜面：是师兄少写一笔 （打二字称谓）,谜底：帅哥
谜面：且抄且泣字参差 （打二字食品）,谜底：沙拉
谜面：半城桃李半城楼 （打一旅游城市名）,谜底：桂林
谜面：水下作业注意事项 （打三字社会现象）,谜底：潜规则
谜面：何苦要整容 （打二字中草药）,谜底：荷叶
谜面：古貌改变受质疑 （打二字电影名）,谜底：叶问
谜面：横杆垂钓无冬夏 （打一《天龙八部》人名）,谜底：丁春秋
谜面：婚纱照 （打二字影视名词）,谜底：偶像
谜面：取其上策，十分重要。 （打一文具）,谜底：毛笔
谜面：往返票价都五毛 （打六字数学名词）,谜底：一元二次方程
谜面：开放之后大变样 （打二字称谓）,谜底：方丈
谜面：立即告知 （打二字法律名词）,谜底：起诉
谜面：光武中兴 （打一歌手）,谜底：刘欢
谜面：自从怀孕就吵架 （打一成语）,谜底：一鼓作气
谜面：考题以浅显为宜 （打一成语）,谜底：高深莫测
谜面：齐心苦求变 （打二字中药名）,谜底：艾叶
谜面：周围拆除售东西 （打一歌手名）,谜底：韦唯
谜面：入闽中已三周 （打一字）,谜底：蜡
谜面：豹子头怒打黑旋风 （打一成语）,谜底：气冲斗牛
谜面：李逵宋江立船头 （打一成语）,谜底：风雨同舟
谜面：寒从夜半起 （打一《红楼梦》人名）,谜底：冷子兴
谜面：刚刚会见刘皇叔 （打一成语）,谜底：方面大耳
谜面：湖中隐约晴方现 （打一节日）,谜底：清明
谜面：草木有知亦觉寒 （打一成语）,谜底：人走茶凉
谜面：窗前飞燕探头来 （打一字）,谜底：挖
谜面：不负前言 （打一《水浒传》人名）,谜底：白胜
谜面：万寿无疆 （打三字学校用语）,谜底：特长生
谜面：半部春秋来回念 （打二字植物名）,谜底：茴香
谜面：长度好像是三尺 （打一《西游记》人名）,谜底：如来
谜面：牛角 （打一成语）,谜底：迎刃而解
谜面：中山传 （打三字文学用语）,谜底：记叙文
谜面：元迎探惜各西东 （打一节气名）,谜底：春分
谜面：一口吃掉五颗丸子 （打一字）,谜底：熟
谜面：牛角刀 （打二字化学用语）,谜底：分解
谜面：昔日紫禁城 （打一《三国演义》人名）,谜底：陈宫
谜面：一点小燕上下飞 （打一城市名）,谜底：北京
谜面：负荆请罪 （打二字数学用语）,谜底：求和
谜面：谁先发明造纸术 （打一成语）,谜底：无与伦比
谜面：不再上诉 （打三字礼貌用语）,谜底：告辞了
谜面：十月十八方到此 （打二字中药名）,谜底：柴胡
谜面：者人折了那人攀 （打一明朝才女）,谜底：柳如是
谜面：断桥残雪看不足 （打一字）,谜底：霜
谜面：凤凰台上凤凰游 （打一省区名）,谜底：云南
谜面：扇子 （打二字地理用语）,谜底：热带
谜面：斩颜良诛文丑 （打一《水浒传》人名）,谜底：关胜
谜面：大车上坐武二 （打一比赛项目）,谜底：马拉松
谜面：杜十娘沉宝，林黛玉焚诗。 （打一成语）,谜底：水火无情
谜面：看戏 （打一《三国演义》人名）,谜底：张角
谜面：三寸金莲何以成 （打二字邮政用语）,谜底：包裹
谜面：立即分开 （打一节日）,谜底：六一
谜面：百分之一 （打一节气）,谜底：白露
谜面：春末夏初 （打二字花卉名）,谜底：百合
谜面：父母见面 （打三字学校名词）,谜底：家长会
谜面：杀牛宰羊 （打二字常用词）,谜底：害羞
谜面：一九八六 （打四字体育用语）,谜底：混合双打
谜面：环顾无人胜郎君 （打一西汉人名）,谜底：周亚夫
谜面：因贫三餐改两餐 （打一节日）,谜底：寒食节
谜面：双夺冠军是头回 （打四字数学用语）,谜底：二元一次
谜面：一向上爬忘了本 （打一字）,谜底：未
谜面：雨夹雪 （打一成语）,谜底：落花流水
谜面：无功受禄 （打二字称谓）,谜底：白领
谜面：辨子功 （打一成语）,谜底：后发制人
谜面：瞎子点灯 （打三字药品名）,谜底：白花油
谜面：酒水一撤，仙人隐去。 （打一省区名）,谜底：山西
谜面：说说优点就走 （打一成语）,谜底：扬长而去
谜面：自古英雄多磨难 （打三字音乐用语）,谜底：成名曲
谜面：其中真心差几许 （打一字）,谜底：一
谜面：双方以仁相待 （打一字）,谜底：倡
谜面：找到香君，探听如是。 （打一成语）,谜底：寻花问柳
谜面：欲得长弓须易容 （打一《水浒传》人名）,谜底：张顺
谜面：子女分投南北宋 （打一著名导演）,谜底：李安
谜面：春末夏初 （打一戏曲行当）,谜底：旦
谜面：对打 （打三字网购热词）,谜底：双十二
谜面：车胤囊萤，匡衡夜读。 （打二字礼貌用语）,谜底：借光
谜面：青铜重器，曰毛公，曰大盂。 （打一成语）,谜底：鼎鼎有名
谜面：寒者衣之，饥者食之。 （打两字鸟名）,谜底：布谷
谜面：一字三两点，一直未猜出。 （打一字）,谜底：羊
谜面：视频 （打三字电脑小游戏）,谜底：连连看
谜面：竹下一牛声声唤 （打一字中国传统乐器）,谜底：笙
谜面：一个病老头，女士人人求。 （打一字）,谜底：瘦
谜面：家有小女，十一出嫁。 （打一字）,谜底：尘
谜面：常年当领导 （打三字称谓）,谜底：老头儿
谜面：五一结伴去旅行 （打一宋朝词人）,谜底：陆游
谜面：一枝花挨着豹子头 （打三字港台歌手）,谜底：蔡依林
谜面：春天还会远吗 （打一节气名）,谜底：冬至
谜面：说说乙未年 （打一星座名）,谜底：白羊
谜面：双方真心对真心 （打一成语）,谜底：三三两两
谜面：西汉衰亡东汉兴 （打一字）,谜底：双
谜面：姐们儿的耳环 （打三字微信热词）,谜底：朋友圈
谜面：仙姑好像下凡了 （打五字苏轼词一句）,谜底：何似在人间
谜面：不错不错 （打二字传统文化形式）,谜底：对联
谜面：君子观棋 （打一当代著名作家）,谜底：莫言
谜面：美好的开端 （打一蔬菜）,谜底：姜
谜面：开山破石来造田 （打一电影）,谜底：画皮
谜面：前前后后和为善 （打一字）,谜底：羊
谜面：对人要格外大方 （打一字）,谜底：徊
谜面：连日取胜巧安排 （打一称谓）,谜底：明星
谜面：关羽心中自明白 （打一成语）,谜底：红颜知己
谜面：居心不正吕奉先 （打一字）,谜底：希
谜面：无法想象无法说 （打一成语）,谜底：不可思议
谜面：红梅开后冬已残 （打一字）,谜底：绦
谜面：别走，我马上来。 （打一数学名词）,谜底：约等于
谜面：可持续发展 （打二字称谓）,谜底：哥哥
谜面：人民币一角 （打一纺织原料）,谜底：羊毛
谜面：土木之变 （打一泊人）,谜底：杜迁
谜面：苗条淑女，君子好逑。 （打一歌曲名）,谜底：纤夫的爱
谜面：赵氏江山两度红 （打一影视明星）,谜底：宋丹丹 
谜面：云南昆明二日游 （打一字）,谜底：能
谜面：算盘珠 （打一学科名）,谜底：代数
谜面：小女子有心与人争先 （打二字礼貌用语）,谜底：您好
谜面：老子的言论 （打一唐朝人名）,谜底：李白
谜面：一生改革为大众 （打一离合字）,谜底：人人从
谜面：年初一晚上 （打一节日）,谜底：元宵
谜面：大年初一过生日 （打一城市名）,谜底：重庆
谜面：大年初一，开市大吉。 （打《红楼梦》人名二）,谜底：元春，贾瑞
谜面：第九次结婚 （打一首都城市）,谜底：巴黎
谜面：初一离家除夕回 （打一成语）,谜底：满载而归
谜面：返航之路 （打二字地理名词）,谜底：回归线
谜面：长安美女 （打一词牌名）,谜底：忆秦娥
谜面：万事不求人 （打一成语）,谜底：好自为之
谜面：多次求教 （打一学科名）,谜底：数学
谜面：相聚三十日，梅花已半开。 （打一水果）,谜底：草莓
谜面：儿子刚添丁 （打一《水浒传》人名）,谜底：孙新
谜面：一曲飘香顷刻来 （打一艺人）,谜底：曹颖
谜面：云长为何诈降曹 （打一《水浒传》人名）,谜底：顾大嫂
谜面：经常搬家 （打一《水浒传》人名）,谜底：时迁
谜面：多点爱心来安家 （打一字）,谜底：嫁
谜面：喜欢三丫头 （打一欧洲国家名）,谜底：爱尔兰
谜面：匹 （打一动物）,谜底：四不象
谜面：说东道西又话北 （打一省区名）,谜底：云南省
谜面：娃娃算时间 （打三字数学名词）,谜底：小数点
谜面：家书不宜长 （打二字电信名词）,谜底：短信
谜面：只言小差错 （打一成语）,谜底：大逆不道
谜面：供不应求 （打一《水浒传》人名）,谜底：索超
谜面：把酒就残月，仿佛伴小青。 （打一成语）,谜底：杯弓蛇影
谜面：房屋重建 （打一省区名）,谜底：福建
谜面：文武俱全 （打一《三国演义》人名）,谜底：刘备
谜面：哥俩上天平 （打二字物理名词）,谜底：比重
谜面：林中烧炭 （打一成语）,谜底：就地取材
